,time,solar_watt,room_temp,ambient_temp,heating_setpoint,cooling_setpoint
61,2024-12-05 15:34:00+00:00,2.8443603516,22.586666666666666,4.7,23.0,25.0
62,2024-12-05 15:49:00+00:00,2.8443603516,22.52,4.7,23.0,25.0
63,2024-12-05 16:04:00+00:00,2.8443603516,22.439999999999998,4.7,22.0,26.0
64,2024-12-05 16:19:00+00:00,2.8443603516,22.39333333333333,4.7,22.0,26.0
65,2024-12-05 16:34:00+00:00,2.8443603516,22.386666666666663,4.6,22.0,26.0
66,2024-12-05 16:49:00+00:00,2.8443603516,22.373333333333335,4.6,22.0,26.0
67,2024-12-05 17:04:00+00:00,2.8443603516,22.35333333333333,4.6,22.0,26.0
68,2024-12-05 17:19:00+00:00,2.8443603516,22.326666666666664,4.6,22.0,26.0
69,2024-12-05 17:36:00+00:00,2.8443603516,22.293333333333337,4.4,22.0,26.0
70,2024-12-05 17:51:00+00:00,2.8443603516,22.24666666666667,4.4,22.0,26.0
71,2024-12-05 18:06:00+00:00,2.8443603516,22.2,4.4,22.0,26.0
72,2024-12-05 18:21:00+00:00,2.8443603516,22.14,4.4,22.0,26.0
73,2024-12-05 18:36:00+00:00,2.8443603516,22.10666666666667,4.3,22.0,26.0
74,2024-12-05 18:51:00+00:00,2.8443603516,22.086666666666662,4.3,22.0,26.0
75,2024-12-05 19:06:00+00:00,2.8443603516,22.066666666666666,4.3,22.0,26.0
76,2024-12-05 19:21:00+00:00,2.8443603516,22.040000000000003,4.3,22.0,26.0
77,2024-12-05 19:36:00+00:00,2.8443603516,22.046666666666667,4.2,22.0,26.0
78,2024-12-05 19:51:00+00:00,2.8443603516,22.066666666666666,4.2,22.0,26.0
79,2024-12-05 20:06:00+00:00,2.8443603516,22.060000000000002,4.2,22.0,26.0
80,2024-12-05 20:22:00+00:00,2.8443603516,22.04666666666667,4.2,22.0,26.0
81,2024-12-05 20:37:00+00:00,2.8443603516,22.026666666666664,4.2,22.0,26.0
82,2024-12-05 20:52:00+00:00,2.8443603516,22.026666666666667,4.2,22.0,26.0
83,2024-12-05 21:07:00+00:00,2.8443603516,22.026666666666664,4.2,22.0,26.0
84,2024-12-05 21:22:00+00:00,2.8443603516,22.026666666666664,4.2,22.0,26.0
85,2024-12-05 21:38:00+00:00,2.8443603516,22.033333333333335,4.2,22.0,26.0
86,2024-12-05 21:53:00+00:00,2.8443603516,22.02,4.2,22.0,26.0
87,2024-12-05 22:08:00+00:00,2.8443603516,22.02,4.2,22.0,26.0
88,2024-12-05 22:24:00+00:00,2.8443603516,22.021428571428572,4.2,22.0,26.0
89,2024-12-05 22:39:00+00:00,2.8443603516,22.01538461538462,4.3,22.0,26.0
90,2024-12-05 22:54:00+00:00,2.8443603516,22.025000000000002,4.3,22.0,26.0
91,2024-12-05 23:09:00+00:00,2.8443603516,22.045454545454547,4.3,22.0,26.0
92,2024-12-05 23:24:00+00:00,2.8443603516,22.040000000000003,4.3,22.0,26.0
93,2024-12-05 23:40:00+00:00,2.8443603516,22.022222222222226,4.2,22.0,26.0
94,2024-12-05 23:55:00+00:00,2.8443603516,22.0375,4.2,22.0,26.0
